ref_month_yr,Blue Springs PD,Buckner PD,Grain Valley PD,Grandview PD,Greenwood PD,Independence PD,JC Sheriff,JCDTF,KCPD,Lake Lotawana PD,Lake Tapawingo PD,Lee's Summit PD,Lone Jack PD,Oak Grove PD,Raytown PD,Sugar Creek PD
2022-11,23,0,3,4,1,32,6,0,244,0,0,35,1,2,9,1
2022-12,24,0,3,4,0,43,9,1,193,0,0,23,1,2,19,0
2023-01,26,0,3,9,1,53,22,1,263,0,0,52,1,0,28,0
2023-02,14,2,2,6,0,45,15,3,202,0,0,42,0,0,12,1
2023-03,20,2,5,10,0,27,12,1,206,1,0,43,0,2,23,1
2023-04,10,1,2,5,0,41,7,0,198,0,0,23,0,1,10,0
2023-05,18,0,1,13,1,30,9,2,225,0,0,25,0,0,14,1
2023-06,25,0,0,7,1,36,5,0,180,0,0,36,0,1,17,0
2023-07,17,0,2,16,0,46,6,2,208,0,0,32,0,1,7,0
2023-08,26,2,6,13,0,66,4,1,189,0,0,42,0,4,15,0
2023-09,10,0,1,12,2,31,9,2,202,0,0,31,0,1,23,0
2023-10,22,1,7,14,0,36,6,1,214,0,0,32,0,6,11,0
2023-11,9,3,0,15,1,39,6,0,231,0,0,17,0,1,19,0
2023-12,28,6,4,15,2,30,10,0,193,0,0,23,1,1,17,2
2024-01,25,2,0,12,1,41,12,2,224,0,0,44,1,4,17,1
2024-02,18,0,5,9,0,37,6,0,168,0,0,29,0,3,7,0
2024-03,16,1,0,16,1,29,3,0,233,0,0,40,0,4,22,0
2024-04,20,1,7,5,0,24,1,0,227,0,0,42,0,3,15,1
2024-05,30,0,2,9,0,54,6,4,210,0,0,32,0,4,11,1
2024-06,14,1,4,10,1,19,4,1,232,0,0,31,0,2,20,0
2024-07,21,4,1,8,1,38,3,0,214,0,0,29,1,4,11,0
2024-08,23,6,5,19,0,28,13,1,220,0,0,50,0,2,22,0
2024-09,31,2,4,3,0,54,12,4,208,1,0,16,0,2,1,0
2024-10,28,3,13,8,0,73,19,3,266,0,0,32,1,0,13,0
2024-11,10,6,4,7,2,59,14,0,179,0,0,30,0,4,20,0
2024-12,14,3,5,11,1,51,9,0,167,0,0,26,0,0,19,0
2025-01,22,11,1,11,0,84,17,0,199,0,0,44,0,6,10,0
2025-02,20,5,7,16,3,61,9,0,204,0,0,46,1,3,13,0
2025-03,23,2,7,3,0,89,7,0,190,0,0,30,0,2,14,2
2025-04,27,6,6,13,0,75,7,1,208,0,0,40,0,3,37,2
2025-05,18,3,5,17,0,68,4,2,205,0,0,28,0,1,6,0
2025-06,22,1,5,8,1,73,4,1,255,0,0,33,0,5,22,2
2025-07,20,1,4,6,1,98,8,0,256,0,0,44,0,5,25,3
2025-08,24,3,4,13,2,49,7,0,164,0,0,22,0,0,13,2
